age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	y
continuous	Private Self-emp-not-inc Self-emp-inc Federal-gov Local-gov State-gov Without-pay Never-worked	continuous	Bachelors Some-college 11th HS-grad Prof-school Assoc-acdm Assoc-voc 9th 7th-8th 12th Masters 1st-4th 10th Doctorate 5th-6th Preschool	continuous	Married-civ-spouse Divorced Never-married Separated Widowed Married-spouse-absent Married-AF-spouse	Tech-support Craft-repair Other-service Sales Exec-managerial Prof-specialty Handlers-cleaners Machine-op-inspct Adm-clerical Farming-fishing Transport-moving Priv-house-serv Protective-serv Armed-Forces	Wife Own-child Husband Not-in-family Other-relative Unmarried	White Asian-Pac-Islander Amer-Indian-Eskimo Other Black	Female Male	continuous	continuous	continuous	United-States Cambodia England Puerto-Rico Canada Germany Outlying-US(Guam-USVI-etc) India Japan Greece South China Cuba Iran Honduras Philippines Italy Poland Jamaica Vietnam Mexico Portugal Ireland France Dominican-Republic Laos Ecuador Taiwan Haiti Columbia Hungary Guatemala Nicaragua Scotland Thailand Yugoslavia El-Salvador Trinadad&Tobago Peru Hong Holand-Netherlands	>50K <=50K
														class 
39.000	State-gov	77516.000	Bachelors	13.000	Never-married	Adm-clerical	Not-in-family	White	Male	2174.000	0.000	40.000	United-States	<=50K
50.000	Self-emp-not-inc	83311.000	Bachelors	13.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000	0.000	13.000	United-States	<=50K
38.000	Private	215646.000	HS-grad	9.000	Divorced	Handlers-cleaners	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
53.000	Private	234721.000	11th	7.000	Married-civ-spouse	Handlers-cleaners	Husband	Black	Male	0.000	0.000	40.000	United-States	<=50K
28.000	Private	338409.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Wife	Black	Female	0.000	0.000	40.000	Cuba	<=50K
37.000	Private	284582.000	Masters	14.000	Married-civ-spouse	Exec-managerial	Wife	White	Female	0.000	0.000	40.000	United-States	<=50K
49.000	Private	160187.000	9th	5.000	Married-spouse-absent	Other-service	Not-in-family	Black	Female	0.000	0.000	16.000	Jamaica	<=50K
52.000	Self-emp-not-inc	209642.000	HS-grad	9.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000	0.000	45.000	United-States	>50K
31.000	Private	45781.000	Masters	14.000	Never-married	Prof-specialty	Not-in-family	White	Female	14084.000	0.000	50.000	United-States	>50K
42.000	Private	159449.000	Bachelors	13.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	5178.000	0.000	40.000	United-States	>50K
37.000	Private	280464.000	Some-college	10.000	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0.000	0.000	80.000	United-States	>50K
30.000	State-gov	141297.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	0.000	0.000	40.000	India	>50K
23.000	Private	122272.000	Bachelors	13.000	Never-married	Adm-clerical	Own-child	White	Female	0.000	0.000	30.000	United-States	<=50K
32.000	Private	205019.000	Assoc-acdm	12.000	Never-married	Sales	Not-in-family	Black	Male	0.000	0.000	50.000	United-States	<=50K
40.000	Private	121772.000	Assoc-voc	11.000	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	0.000	0.000	40.000	?	>50K
34.000	Private	245487.000	7th-8th	4.000	Married-civ-spouse	Transport-moving	Husband	Amer-Indian-Eskimo	Male	0.000	0.000	45.000	Mexico	<=50K
